# name	phase	tags	cost	trigger	path
build-threejs-scroll-worlds	6	scroll,3d,copy,landing,research,game	5k+	Build rich, scroll-controlled real-time Three.js experiences as one persistent 3D world whose camera, lighting…	library/mengto/build-threejs-scroll-worlds/SKILL.md
optimize-threejs-games	6	motion,3d,perf,game	1k	Profile, diagnose, and improve Three.js or WebGL game performance without regressing gameplay	library/mengto/optimize-threejs-games/SKILL.md
threejs	6	3d,perf,media	1k	Use when building or debugging interactive 3D scenes on the web with Three.js (scene/camera/renderer, lights/m…	library/mengto/threejs/SKILL.md
webgl-landing-steering	6	3d,perf,landing	1k	Use when creating or refining WebGL-heavy landing pages and you need to steer toward a specific visual outcome…	library/mengto/webgl-landing-steering/SKILL.md
audit-verify-explain-grade-5	7	review	1k	Audit work, verify claims with concrete evidence, and explain the result in simple grade-5 language	library/mengto/audit-verify-explain-grade-5/SKILL.md
iterate-until-verified	7	review	2k	Apply a prompt-agnostic execution and verification loop to any substantial task while preserving the original …	library/mengto/iterate-until-verified/SKILL.md
accessibility-audit	8	a11y,review	1k	Audit an existing interface against WCAG, producing findings with severity ratings and remediation steps	library/designer/accessibility-audit/SKILL.md
browser-video-recording	8	media,effect	2k	Create polished 60 fps 4:3 4K browser screen-recording style videos from Codex in-app browser captures, with b…	library/mengto/browser-video-recording/SKILL.md
design-qa-checklist	8	review	1k	Build a QA checklist for verifying that a build matches the design	library/designer/design-qa-checklist/SKILL.md
optimize-web-animations	8	motion,scroll,3d,review,perf,effect	2k+	Profile, audit, and optimize frontend page performance with emphasis on animation work, memory-leak risks, lon…	library/mengto/optimize-web-animations/SKILL.md
publish-project-to-github	8	review,ship	2k	Package a finished local project into an intentional GitHub repository, create a strong README and visual prev…	library/mengto/publish-project-to-github/SKILL.md
a-b-test-design	-	type,review	1k	Design an A/B experiment — hypothesis, variants, primary metric, and sample size	library/designer/a-b-test-design/SKILL.md
accessibility-test-plan	-	a11y,review	1k	Plan accessibility testing — assistive technologies, participant criteria, WCAG coverage, and session protocol	library/designer/accessibility-test-plan/SKILL.md
add-mouse-driven-orbit	-	scroll,3d,layout,landing,effect	1k	Add restrained mouse-driven orbit and parallax depth to a Three.js hero by damping one pointer target and spli…	library/mengto/add-mouse-driven-orbit/SKILL.md
add-shader-cursor-trail	-	3d,layout,a11y,perf,landing,effect	1k+	Add the Shaders WebGPU mouse effect used for the Tidal Commons hero: a white twinkling halftone cursor trail d…	library/mengto/add-shader-cursor-trail/SKILL.md
aesthetic-usability	-	motion,review,style,research	1k	Apply the Aesthetic-Usability Effect — polished, consistent interfaces are perceived as more usable and forgiv…	library/designer/aesthetic-usability/SKILL.md
affinity-diagram	-	research	1k	Cluster many qualitative data points into themes and insight statements	library/designer/affinity-diagram/SKILL.md
agency-grid-layout-minimal	-	type,layout,style,media	1k	Create a minimal agency design system with a disciplined editorial grid, oversized typography, quiet uppercase…	library/mengto/agency-grid-layout-minimal/SKILL.md
ambient-section-particles	-	motion,layout,copy,style,effect	1k	Add a restrained particle atmosphere inside one section with configurable shapes, density, gravity, wind, sway…	library/mengto/ambient-section-particles/SKILL.md
animate-expo	-	motion	4k+	Build animations in React Native and Expo, making the decisions in the order that determines whether they feel…	library/emilkowalski/animate-expo/SKILL.md
animation-on-scroll	-	motion,scroll,perf,effect	1k	Create an on-scroll animation trigger using IntersectionObserver with Tailwind-friendly animation classes and …	library/mengto/animation-on-scroll/SKILL.md
animation-principles	-	motion,system	1k	Apply animation principles — easing, staging, follow-through — to one specific UI motion	library/designer/animation-principles/SKILL.md
article-prompts-to-skills	-	review,media	2k	Convert an article, tutorial, or prompt pack into focused reusable AgentSkills, one independent capability per…	library/mengto/article-prompts-to-skills/SKILL.md
ask-sonner	-	color	2k+	Guide to Sonner, the React toast library — install and wire up the Toaster, pick the right toast() call, promi…	library/emilkowalski/ask-sonner/SKILL.md
atmosphere-background	-	effect	1k	Create a dark atmospheric background with drifting vertical light folds, screen-blended glow, and a concentrat…	library/mengto/atmosphere-background/SKILL.md
aura-asset-images	-	media	2k	Use when you need high-quality stock-style images from Aura Assets (aura.build/assets) similar to Unsplash for…	library/mengto/aura-asset-images/SKILL.md
author-game-levels	-	3d,type,game	1k	Author or revise readable, flat-world Three.js game levels	library/mengto/author-game-levels/SKILL.md
background-grid-webgl	-	scroll,3d,layout,effect	1k	Create a perspective WebGL background grid with fading lines, subtle particle haze, slow forward drift, and ge…	library/mengto/background-grid-webgl/SKILL.md
beam-glow-states	-	motion,layout,a11y,perf,effect	3k	Create React loading, processing, selected, current, focus, and pressed states with the border-beam package's …	library/mengto/beam-glow-states/SKILL.md
beautiful-article	-	media	8k+	把用户提供的素材（网页 URL / PDF / DOCX / Markdown / 纯文本 / 截图 / 粘贴材料）编辑、设计成一篇美丽的、可离线打开和分享的**单文件 HTML 网页文章**。基于 reacticle …	library/garden/beautiful-article/SKILL.md
beautiful-shadows	-	color,landing	1k	Apply exact Tailwind arbitrary shadow utilities for polished, layered neutral elevation	library/mengto/beautiful-shadows/SKILL.md
blue-cloudy-clean-modern	-	type,style	1k	Create a clean modern design system with a luminous blue sky atmosphere, soft drifting cloud light, minimal wh…	library/mengto/blue-cloudy-clean-modern/SKILL.md
blue-laser-clean-glass-layout	-	layout,style,effect	1k	Create a clean dark glass layout system with a thin blue laser atmosphere, frosted premium shells, and polishe…	library/mengto/blue-laser-clean-glass-layout/SKILL.md
book-serif-index	-	perf,style	1k	Create an archival book-reader design system with serif-led pages, mono index navigation, aged paper surfaces,…	library/mengto/book-serif-index/SKILL.md
bright-green-tech-system-webgl	-	3d,layout,perf,style	1k	Create a bright-green technical design system with structured split layouts, hard-framed dark surfaces, mono u…	library/mengto/bright-green-tech-system-webgl/SKILL.md
build-daily-inspiration-sites	-	copy,style,landing,media	2k+	Turn a completed daily UI inspiration capture into exactly five original landing-page builds, one per separate…	library/mengto/build-daily-inspiration-sites/SKILL.md
build-game-audio-feedback	-	3d,layout,a11y,perf,media,game	1k	Design or implement responsive audio feedback for a Three.js or web game	library/mengto/build-game-audio-feedback/SKILL.md
build-game-camera-controls	-	3d,review,game,effect	1k	Implement or tune Three.js game cameras	library/mengto/build-game-camera-controls/SKILL.md
build-game-changelog	-	layout,a11y,review,game,ship	2k+	Design, implement, backfill, audit, and release in-game changelogs with contiguous versioning, deployment prov…	library/mengto/build-game-changelog/SKILL.md
build-game-inventory	-	review,game	1k	Build or repair game inventory, loot, equipment, tooltips, drag-and-drop, persistence, and progression systems	library/mengto/build-game-inventory/SKILL.md
build-game-map-editor	-	3d,review,game,ship	2k+	Build, extend, or audit production-linked browser map editors for Three.js and isometric games	library/mengto/build-game-map-editor/SKILL.md
build-game-monster-system	-	motion,3d,review,game	1k+	Build, integrate, audit, or refactor rigged monsters for Three.js and web action games	library/mengto/build-game-monster-system/SKILL.md
build-hybrid-game-assets	-	3d,review,perf,game	1k	Plan, create, integrate, or audit a hybrid asset pipeline for a Three.js or web game	library/mengto/build-hybrid-game-assets/SKILL.md
build-interactive-particle-trail	-	layout,a11y,effect	2k	Build a cursor or touch particle interaction that emits by distance along the traveled segment into a recycled…	library/mengto/build-interactive-particle-trail/SKILL.md
build-isometric-arpg	-	3d,copy,game	1k	Build or extend a playable isometric action RPG in Three.js, React, or similar web technology	library/mengto/build-isometric-arpg/SKILL.md
build-mobile-threejs-games	-	3d,layout,review,perf,game	1k	Build, tune, or test a Three.js game for mobile web	library/mengto/build-mobile-threejs-games/SKILL.md
build-rigged-game-assets	-	motion,3d,review,perf,game	2k+	Create, integrate, or audit production-ready rigged 3D characters and monsters with a main model, skeleton, an…	library/mengto/build-rigged-game-assets/SKILL.md
build-threejs-enemy-systems	-	3d,copy,game	1k	Build or refactor reusable, data-driven enemy archetype and moveset systems for Three.js action games	library/mengto/build-threejs-enemy-systems/SKILL.md
build-vesperfall-review-assets	-	3d,review,game	1k	Build truthful Vesperfall asset-library review pairs from transparent PNG references and live Three.js, FBX, o…	library/mengto/build-vesperfall-review-assets/SKILL.md
build-wireframe-scan-reveal	-	3d,perf,research,effect	2k	Reveal Three.js geometry with an expanding world-space scan whose wire cage leads the solid surface, then burn…	library/mengto/build-wireframe-scan-reveal/SKILL.md
business-design	-	misc	1k	Read financials, map competitive landscapes, and argue design decisions in the language of value	library/designer/business-design/SKILL.md
card-sort-analysis	-	research	1k	Analyse open or closed card sort results into a proposed grouping and label set	library/designer/card-sort-analysis/SKILL.md
case-study	-	copy	1k	Craft a portfolio case study with narrative arc, process evidence, and outcomes	library/designer/case-study/SKILL.md
clean-minimal-beige-light-mode	-	color,layout,style	1k	Create a clean minimal beige light-mode design system with warm neutral shells, quiet process grids, restraine…	library/mengto/clean-minimal-beige-light-mode/SKILL.md
click-test-plan	-	review	1k	Design first-click and click tests for findability and navigation	library/designer/click-test-plan/SKILL.md
cobejs	-	3d,perf	1k	Use when adding a lightweight interactive globe with cobe (canvas setup, markers, interaction, performance, in…	library/mengto/cobejs/SKILL.md
color-system	-	color,style,system	1k	Build a product colour system — tonal scales, semantic roles, and contrast compliance	library/designer/color-system/SKILL.md
company-logos	-	misc	1k	Use Iconify Simple Icons logos (64x64) instead of text logos.	library/mengto/company-logos/SKILL.md
competitive-analysis	-	misc	1k	Compare UX patterns, features, strengths, and gaps across rival products	library/designer/competitive-analysis/SKILL.md
component-spec	-	a11y,system	1k	Specify one component — props, states, variants, accessibility, and usage rules	library/designer/component-spec/SKILL.md
container-lines	-	type,layout,perf,style	1k	Add vertical container-size guide lines with mini corner squares for precise, structured web layouts	library/mengto/container-lines/SKILL.md
content-strategy	-	layout,copy	1k	Define what content a product needs, how it is structured, and who owns it	library/designer/content-strategy/SKILL.md
conversational-ux	-	research	2k	Design voice and conversational interfaces — dialog flows, error recovery, and persona	library/designer/conversational-ux/SKILL.md
corner-diagonals	-	misc	1k	Apply diagonal-cut corners and chamfered edges to buttons, cards, panels, and container shells	library/mengto/corner-diagonals/SKILL.md
corner-lasers	-	layout,effect	1k	Create a corner-anchored laser composition with thin beams, a bright emitter node, bloom, and atmospheric glow…	library/mengto/corner-lasers/SKILL.md
create-game-vfx	-	motion,3d,type,perf,game,effect	1k	Create readable, performance-safe Three.js game visual effects	library/mengto/create-game-vfx/SKILL.md
critique-affordance	-	review,media	1k	Critique a rendered screen's affordances — what looks clickable, state visibility, CTA clarity, and action dis…	library/designer/critique-affordance/SKILL.md
critique-brand-consistency	-	review,style,media,system	1k	Critique a rendered screen against mood.md, voice.md, and tokens.md	library/designer/critique-brand-consistency/SKILL.md
critique-color	-	color,a11y,review,media	1k	Critique a rendered screen's colour — contrast ratios, palette coherence, and semantic meaning	library/designer/critique-color/SKILL.md
critique-composition	-	layout,review,media	1k	Critique a rendered screen's composition — balance, whitespace, rhythm, and gestalt grouping	library/designer/critique-composition/SKILL.md
critique-information-density	-	copy,review,media	1k	Critique a rendered screen's density — cognitive load, content prioritisation, scanning patterns, and progress…	library/designer/critique-information-density/SKILL.md
critique-typography	-	type,review,media,system	1k	Critique a rendered screen's typography — scale usage, readability, consistency, and token compliance	library/designer/critique-typography/SKILL.md
critique-visual-hierarchy	-	layout,review,media	1k	Critique a rendered screen's hierarchy — entry point, eye flow, weight distribution, and emphasis	library/designer/critique-visual-hierarchy/SKILL.md
css-alpha-masking	-	color,media	1k	Apply CSS alpha masking with linear-gradient for horizontal or vertical edge fades (mask-image and -webkit-mas…	library/mengto/css-alpha-masking/SKILL.md
css-border-gradient	-	color,landing,effect	1k	Apply subtle gradient-border treatments for premium web surfaces	library/mengto/css-border-gradient/SKILL.md
daily-ui-inspiration-capture	-	motion,perf,landing,media	2k	Create a recurring daily UI inspiration capture	library/mengto/daily-ui-inspiration-capture/SKILL.md
dark-blue-contrasting-clean	-	color,perf,style,effect	1k	Create a dark-blue clean design system with strong contrast, cobalt gradient feature blocks, crisp framed stru…	library/mengto/dark-blue-contrasting-clean/SKILL.md
dark-glass-clean-layout	-	layout,style	1k	Create a dark glass layout system with frosted premium shells, clean multi-column workspace structure, floatin…	library/mengto/dark-glass-clean-layout/SKILL.md
dark-mode-design	-	color	1k	Adapt an existing palette to dark mode — surface elevation, contrast rebalancing, and desaturation rules	library/designer/dark-mode-design/SKILL.md
data-visualization	-	color,a11y	1k	Select chart types and design data encodings — marks, axes, labels, and accessible chart styling	library/designer/data-visualization/SKILL.md
design-action-combat	-	type,review,game	1k	Design, implement, tune, or test readable tactical action combat for web games	library/mengto/design-action-combat/SKILL.md
design-brief	-	misc	1k	Write a project brief — problem space, constraints, audience, and success criteria	library/designer/design-brief/SKILL.md
design-critique	-	review	1k	Facilitate a structured team critique — framing, feedback rules, and actionable outcomes	library/designer/design-critique/SKILL.md
design-debt-audit	-	a11y,review,system,game	1k	Inventory and prioritise accumulated design inconsistencies across a product	library/designer/design-debt-audit/SKILL.md
design-game-encounters	-	3d,layout,review,game	1k	Design, implement, tune, or test Three.js action-game encounters	library/mengto/design-game-encounters/SKILL.md
design-impact-reporting	-	misc	1k	Communicate design's contribution to business and user outcomes in stakeholder language	library/designer/design-impact-reporting/SKILL.md
design-negotiation	-	misc	1k	Advocate for design quality, scope, and timeline with partners and leadership using evidence and shared goals	library/designer/design-negotiation/SKILL.md
design-principles	-	misc	1k	Define actionable principles that resolve trade-offs when the team disagrees	library/designer/design-principles/SKILL.md
design-rationale	-	copy	1k	Write rationale connecting decisions to user needs, business goals, and principles	library/designer/design-rationale/SKILL.md
design-review-process	-	review	1k	Establish review gates — criteria, checkpoints, and approval flow	library/designer/design-review-process/SKILL.md
design-sprint-plan	-	review	1k	Plan and facilitate a design sprint from challenge framing through prototype testing	library/designer/design-sprint-plan/SKILL.md
design-system-adoption	-	style,system	1k	Create adoption strategy and enablement materials to drive design system usage	library/designer/design-system-adoption/SKILL.md
design-system-governance	-	system	1k	Define how the system evolves — contribution model, versioning, deprecation, and change management	library/designer/design-system-governance/SKILL.md
design-token	-	color,layout,review,style,system	1k	Define and organise tokens for colour, spacing, type, and elevation with naming and usage rules	library/designer/design-token/SKILL.md
design-token-audit	-	review,system	1k	Audit token usage across a product for coverage, drift, and hard-coded values	library/designer/design-token-audit/SKILL.md
diary-study-plan	-	review,perf,research	1k	Design a diary study — prompts, cadence, duration, participant criteria, and analysis frame	library/designer/diary-study-plan/SKILL.md
dither-background	-	copy,perf,style,landing	2k	Create a dark monochrome procedural background with enlarged square pixels and visible Bayer-style ordered dit…	library/mengto/dither-background/SKILL.md
dither-laser-dark-mode	-	color,style,effect	1k	Create a dark premium design system that combines near-black surfaces, subtle ordered-dither texture, and a th…	library/mengto/dither-laser-dark-mode/SKILL.md
documentary-brutalist-agency	-	scroll,type,layout,a11y,media	1k	Create or redesign creative agency, production studio, architecture, culture, and portfolio websites with bill…	library/mengto/documentary-brutalist-agency/SKILL.md
documentation-template	-	copy,system	1k	Generate a reusable documentation scaffold for components, patterns, or guidelines	library/designer/documentation-template/SKILL.md
doherty-threshold	-	perf	1k	Apply the Doherty Threshold — keep system response under 400ms to preserve user flow	library/designer/doherty-threshold/SKILL.md
editorial-portfolio-chapters	-	type,color,style,media,effect	1k+	Create or redesign creative-studio, agency, photographer, artist, and portfolio websites where project work le…	library/mengto/editorial-portfolio-chapters/SKILL.md
editorial-service-booking	-	layout,style	1k	Create or redesign appointment-based service websites for salons, barbers, spas, wellness studios, clinics, an…	library/mengto/editorial-service-booking/SKILL.md
editorial-tech	-	color,layout,style	1k	Blend editorial magazine composition with precision product-tech detailing using asymmetrical grids, cinematic…	library/mengto/editorial-tech/SKILL.md
elevenlabs-tts	-	perf,media	1k	Generate ElevenLabs text-to-speech audio from scripts or inline text using local voice profiles	library/mengto/elevenlabs-tts/SKILL.md
empathy-map	-	research	1k	Build a Says, Thinks, Does, Feels map for one user or segment	library/designer/empathy-map/SKILL.md
error-handling-ux	-	copy	1k	Design error prevention, detection, and recovery across a product — message content, placement, and escape rou…	library/designer/error-handling-ux/SKILL.md
experience-map	-	research	1k	Map the full ecosystem of touchpoints, channels, and relationships across a service	library/designer/experience-map/SKILL.md
falling-leaves	-	motion,color,a11y,effect	2k	Build falling leaves that read as leaves, with each one tumbling on its own axis so it presents a face, thins …	library/mengto/falling-leaves/SKILL.md
feedback-patterns	-	misc	1k	Design confirmations, status updates, and notifications that tell users an action registered	library/designer/feedback-patterns/SKILL.md
fitts-law	-	media	1k	Apply Fitts's Law — target acquisition time depends on size and distance	library/designer/fitts-law/SKILL.md
form-design	-	misc	1k	Design a form end to end — field order, grouping, validation, and completion	library/designer/form-design/SKILL.md
framed-grid-layout	-	layout,perf,style	1k	Create minimal framed grid layouts with thin visible boundary lines, L-shaped corner brackets, subtle diagonal…	library/mengto/framed-grid-layout/SKILL.md
framed-tech-dark-border-gradient	-	color,layout,perf,style	1k	Create a framed dark technical design system with border-gradient shells, asymmetrical grid panels, mono utili…	library/mengto/framed-tech-dark-border-gradient/SKILL.md
funky-purple-container-tech	-	perf,style	1k	Create a dark container-led technical design system with fuchsia-purple accents, layered rounded shells, crisp…	library/mengto/funky-purple-container-tech/SKILL.md
gesture-patterns	-	misc	1k	Design gesture interactions for touch and pointer — swipe, drag, long-press, and their discoverability	library/designer/gesture-patterns/SKILL.md
glass-dark-mode-clock	-	layout,style	1k	Create a dark glass design system with frosted shells, soft beam grids, circular clock-like calibration dials,…	library/mengto/glass-dark-mode-clock/SKILL.md
glass-dark-ui	-	type,color,style,landing,effect	1k	Build dark-mode glassmorphism interfaces with readable contrast, frosted surfaces, and gradient borders using …	library/mengto/glass-dark-ui/SKILL.md
globe-gl	-	3d	1k	Use when implementing globe.gl (Globe.GL) for 3D globe data visualization with WebGL/ThreeJS, including setup,…	library/mengto/globe-gl/SKILL.md
globe-particles	-	3d,layout,media,effect	2k	Create a globe-like 3D particle visualization with a dense luminous spherical core and thinner orbital ring or…	library/mengto/globe-particles/SKILL.md
gooey-blob-system	-	motion,color,effect	1k	Create a gooey blob system using SVG filters where multiple shapes merge into a single fluid form	library/mengto/gooey-blob-system/SKILL.md
gpt-image-2	-	media	7k+	面向 GPT Image 2 的图像生成 / 编辑技能。可在 3 种环境下使用：(A) Garden 本地模式，通过 OpenAI 兼容接口直接出图并落盘；(B) Host-Native 模式，把本 Skill 当作提示…	library/garden/gpt-image-2/SKILL.md
gsap-scrolltrigger-storytelling	-	motion,scroll,effect	1k	Build cinematic sticky product storytelling with GSAP ScrollTrigger, progressive UI reveals, scroll-synced ani…	library/mengto/gsap-scrolltrigger-storytelling/SKILL.md
handoff-spec	-	type,review	1k	Write the implementation handoff — measurements, behaviours, assets, states, and edge cases	library/designer/handoff-spec/SKILL.md
heuristic-evaluation	-	review	1k	Run an expert review against Nielsen's heuristics and domain criteria, with severity ratings	library/designer/heuristic-evaluation/SKILL.md
hicks-law	-	perf	1k	Apply Hick's Law — decision time grows with the number of simultaneous choices	library/designer/hicks-law/SKILL.md
high-contrast-skeuomorphic-clean	-	color,style	1k	Create a high-contrast clean skeuomorphic design system with molded dark surfaces, crisp light separation, tac…	library/mengto/high-contrast-skeuomorphic-clean/SKILL.md
icon-system	-	layout,system	1k	Specify an icon system — grid, sizing, stroke weight, naming, categories, and implementation	library/designer/icon-system/SKILL.md
illustration-style	-	color	1k	Define an illustration style guide — visual language, colour usage, and application rules	library/designer/illustration-style/SKILL.md
image-first-grid-layout	-	layout,copy,style,media	1k	Create an image-led grid design system with full-bleed photography, structural guide lines, anchored content b…	library/mengto/image-first-grid-layout/SKILL.md
implement-fog-of-war	-	3d,review,perf,game	2k+	Implement, tune, debug, or validate soft wall-aware fog of war and gameplay perception in Three.js action game…	library/mengto/implement-fog-of-war/SKILL.md
information-architecture	-	layout,copy,research	1k	Design content structure, hierarchy, labelling, and the navigation model	library/designer/information-architecture/SKILL.md
interfaces-that-feel	-	motion,copy,review,style,research	1k	Apply an emotional resonance lens to a UI that is technically correct but flat, prescribing changes at the cop…	library/designer/interfaces-that-feel/SKILL.md
interview-script	-	research	1k	Write a structured interview guide — warm-up, core exploration, and wrap-up	library/designer/interview-script/SKILL.md
jakobs-law	-	misc	1k	Apply Jakob's Law — users expect your product to work like the others they already use	library/designer/jakobs-law/SKILL.md
jobs-to-be-done	-	motion,research	1k	Map functional, emotional, and social jobs with outcome expectations	library/designer/jobs-to-be-done/SKILL.md
journey-map	-	motion,review,research,game	1k	Map one persona's end-to-end experience with stages, touchpoints, emotions, and pain points	library/designer/journey-map/SKILL.md
kb-retriever	-	misc	3k+	面向本地知识库目录的检索和问答助手。核心流程：(1)分层索引导航 (2)遇到PDF/Excel时必须先读取references学习处理方法 (3)处理文件后再检索。按文件类型组合使用 grep、Read、pdfplumb…	library/garden/kb-retriever/SKILL.md
landing-page	-	layout,copy,landing	1k	Use when designing or rewriting a high-converting landing page (single-offer page) for SaaS/apps/services	library/mengto/landing-page/SKILL.md
law-of-closure	-	misc	1k	Apply the Law of Closure — the eye completes implied shapes from partial forms	library/designer/law-of-closure/SKILL.md
law-of-common-region	-	layout	1k	Apply the Law of Common Region — a shared container, background, or border groups elements regardless of spaci…	library/designer/law-of-common-region/SKILL.md
law-of-continuity	-	copy	1k	Apply the Law of Continuity — the eye follows alignment and unbroken paths	library/designer/law-of-continuity/SKILL.md
law-of-figure-ground	-	misc	1k	Apply the Law of Figure-Ground — establish which layer is foreground and actionable versus background	library/designer/law-of-figure-ground/SKILL.md
law-of-proximity	-	layout	1k	Apply the Law of Proximity — spatial closeness groups elements more strongly than any other cue	library/designer/law-of-proximity/SKILL.md
law-of-similarity	-	color	1k	Apply the Law of Similarity — shared colour, shape, or size signals that elements belong to one category	library/designer/law-of-similarity/SKILL.md
layout-grid	-	layout	1k	Define a responsive grid — columns, gutters, margins, and breakpoint behaviour	library/designer/layout-grid/SKILL.md
light-mode-paper-technical	-	style	1k	Create a light-mode technical design system with warm paper surfaces, dark outer framing, subtle diagonal text…	library/mengto/light-mode-paper-technical/SKILL.md
liquid-metal-border	-	motion,3d,a11y,perf,effect	3k	Add and tune animated liquid-metal WebGL borders with the React `metal-fx` package	library/mengto/liquid-metal-border/SKILL.md
